card_id	article_item_id	deck	initial_step	enabled	notes
leitner_art_def_nom_mas	art_def_nom_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_nom_neu	art_def_nom_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_nom_fem	art_def_nom_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_nom_plu	art_def_nom_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_acc_mas	art_def_acc_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_acc_neu	art_def_acc_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_acc_fem	art_def_acc_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_acc_plu	art_def_acc_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_dat_mas	art_def_dat_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_dat_neu	art_def_dat_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_dat_fem	art_def_dat_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_def_dat_plu	art_def_dat_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_nom_mas	art_ind_nom_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_nom_neu	art_ind_nom_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_nom_fem	art_ind_nom_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_nom_plu	art_ind_nom_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_acc_mas	art_ind_acc_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_acc_neu	art_ind_acc_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_acc_fem	art_ind_acc_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_acc_plu	art_ind_acc_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_dat_mas	art_ind_dat_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_dat_neu	art_ind_dat_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_dat_fem	art_ind_dat_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_ind_dat_plu	art_ind_dat_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_nom_mas	art_neg_nom_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_nom_neu	art_neg_nom_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_nom_fem	art_neg_nom_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_nom_plu	art_neg_nom_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_acc_mas	art_neg_acc_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_acc_neu	art_neg_acc_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_acc_fem	art_neg_acc_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_acc_plu	art_neg_acc_plu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_dat_mas	art_neg_dat_mas	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_dat_neu	art_neg_dat_neu	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_dat_fem	art_neg_dat_fem	articles	0	true	Initial article-form Leitner prototype card
leitner_art_neg_dat_plu	art_neg_dat_plu	articles	0	true	Initial article-form Leitner prototype card
