zipFile,entryPath,entryType,reason,compressedBytes,uncompressedBytes,recommendation
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/ScreenConcepts.zip,file,nested_zip,2499835,2503748,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Autofill/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/AutoLaunchProtocolsComponent/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/CertificateRevocation/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/component_crx_cache/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/attachments/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/metadata,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/reports/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/settings.dat,file,browser_profile_or_cache,173,288,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Crashpad/throttle_store.dat,file,browser_profile_or_cache,22,20,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Affiliation Database,file,browser_profile_or_cache,939,53248,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Affiliation Database-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/arbitration_service_config.json,file,browser_profile_or_cache,4197,20740,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/blob_storage/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/blob_storage/787ef44c-3e5c-4b8c-94c8-5f1671b83127/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/data_0,file,browser_profile_or_cache,131,45056,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/data_1,file,browser_profile_or_cache,464,270336,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/data_2,file,browser_profile_or_cache,36,8192,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/data_3,file,browser_profile_or_cache,7557,4202496,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/f_000001,file,browser_profile_or_cache,514271,682503,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/Cache_Data/index,file,browser_profile_or_cache,341,262512,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/No_Vary_Search/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/No_Vary_Search/journal.baj,file,browser_profile_or_cache,6,4,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Cache/No_Vary_Search/snapshot.baf,file,browser_profile_or_cache,13,20,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/ClientCertificates/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/ClientCertificates/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/ClientCertificates/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/09af2f3b78d7b35d_0,file,browser_profile_or_cache,171,220,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/1537eedeadcc5f8c_0,file,browser_profile_or_cache,198,250,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/259ead8c1830f551_0,file,browser_profile_or_cache,173,222,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/2a8a6f695a3ff316_0,file,browser_profile_or_cache,207,303,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/2cca9bc741a6516d_0,file,browser_profile_or_cache,211,306,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/47dc1e602f914896_0,file,browser_profile_or_cache,165,214,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/4b2fa8c2aa7b2473_0,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/5cce1706364839f1_0,file,browser_profile_or_cache,211,307,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/5fbb54f36261c413_0,file,browser_profile_or_cache,213,308,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/6b47154afa5efd3c_0,file,browser_profile_or_cache,177,229,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/6c0d2d9f89fc03ea_0,file,browser_profile_or_cache,163,212,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/7946e38086a42b3d_0,file,browser_profile_or_cache,176,226,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/7de0dc67a2b3a69c_0,file,browser_profile_or_cache,212,307,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/8020acacb3d13763_0,file,browser_profile_or_cache,217,321,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/847244f1f2566829_0,file,browser_profile_or_cache,159,210,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/8bb1867be67136eb_0,file,browser_profile_or_cache,209,305,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/8e89b73ce287a610_0,file,browser_profile_or_cache,165,214,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/945cb8fb56d09a8e_0,file,browser_profile_or_cache,218,321,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/b21fb45197b9c728_0,file,browser_profile_or_cache,207,303,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/ba678a2fbd8c358c_0,file,browser_profile_or_cache,200,298,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/baded5730168391f_0,file,browser_profile_or_cache,213,313,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/cb7c1de84860a5f3_0,file,browser_profile_or_cache,166,216,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/d900c5d194e0c8e0_0,file,browser_profile_or_cache,165,214,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/e74c0be2e5c7fd94_0,file,browser_profile_or_cache,160,210,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/e94999eac39dfd99_0,file,browser_profile_or_cache,221,317,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/e9a142a21b9ad9ef_0,file,browser_profile_or_cache,201,297,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/ebce9e52a869b921_0,file,browser_profile_or_cache,207,303,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/edfd07413318d52f_0,file,browser_profile_or_cache,160,210,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/index,file,browser_profile_or_cache,14,24,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/index-dir/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/js/index-dir/the-real-index,file,browser_profile_or_cache,33,48,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/wasm/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/wasm/index,file,browser_profile_or_cache,14,24,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/wasm/index-dir/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/Code Cache/wasm/index-dir/the-real-index,file,browser_profile_or_cache,33,48,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/commerce_subscription_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/commerce_subscription_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/commerce_subscription_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/DawnGraphiteCache/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/DawnGraphiteCache/data_0,file,browser_profile_or_cache,38,8192,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\ozmosis-repo\ozmosis-v0_85_3_3.zip,_development-files/v0851-edge-profile-1781907055829/Default/DawnGraphiteCache/data_1,file,browser_profile_or_cache,307,270336,exclude_from_future_zip
