zipFile,entryPath,entryType,reason,compressedBytes,uncompressedBytes,recommendation
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/OZMOSIS-v0.32-b1-connector-sprint-bank-screenshots.zip,file,nested_zip,728457,728369,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/OZMOSIS-v0.32-b1-connector-sprint-bank-share.zip,file,nested_zip,76140,76135,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/OZMOSIS-v30-b1-sprint-landing-page-share.zip,file,nested_zip,57397,57406,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/OZMOSIS-v31-b1-content-engine-lite-screenshots.zip,file,nested_zip,637287,637236,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/OZMOSIS-v31-b1-content-engine-lite-share.zip,file,nested_zip,62120,62135,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v27-grammar-aware-retry-screenshots.zip,file,nested_zip,1715300,1717123,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v27-grammar-aware-retry.zip,file,nested_zip,1760776,1762711,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v28-responsive-ux-audit/screenshots/profile-1440x900-results/Default/Service Worker/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v28-responsive-ux-audit/screenshots/profile-1440x900-results/Default/Service Worker/Database/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v28-responsive-ux-audit/screenshots/profile-1440x900-results/Default/Service Worker/Database/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v28-responsive-ux-audit-screenshots.zip,file,nested_zip,2638343,2638182,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v28-responsive-ux-audit.zip,file,nested_zip,2705736,2712199,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v29-ux-polish-scroll-encoding-screenshots.zip,file,nested_zip,890342,890344,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v29-ux-polish-scroll-encoding.zip,file,nested_zip,941440,941573,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Account Web Data-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Affiliation Database-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillAiModelCache/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillAiModelCache/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillAiModelCache/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillStrikeDatabase/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillStrikeDatabase/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/AutofillStrikeDatabase/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/BrowsingTopicsSiteData-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/BudgetDatabase/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/BudgetDatabase/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/BudgetDatabase/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/chrome_cart_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/chrome_cart_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/chrome_cart_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/commerce_subscription_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/commerce_subscription_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
