routeName,poolName,poolType,itemCount,quarantinedCount,reviewOnlyCount,inactiveEvidenceCount,productionCount,normalAutoGradedFalseCount,knownProblemRowCount,passFail,notes
Today B1 Sprint,daily eligible,normal_auto_graded,226,0,0,0,0,0,0,PASS,
Today B1 Sprint,daily eligible final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1 seed,mixed extra,normal_auto_graded,226,0,0,0,0,0,0,PASS,
B1 seed,mixed extra final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1 Grammar,grammar_cloze,normal_auto_graded,8,0,0,0,0,0,0,PASS,
B1 Grammar,grammar_cloze final queue,normal_auto_graded,8,0,0,0,0,0,0,PASS,
Wortschatz,mixed,normal_auto_graded,120,0,0,0,0,0,0,PASS,
Wortschatz,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Wortschatz,production,production_only,30,0,0,0,30,0,0,PASS,
Wortschatz,production final queue,production_only,12,0,0,0,12,0,0,PASS,
Redemittel,mixed,normal_auto_graded,82,0,0,0,0,0,0,PASS,
Redemittel,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,formal_email,normal_auto_graded,15,0,0,0,0,0,0,PASS,
Redemittel,formal_email final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,appointment,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,appointment final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,request,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,request final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,complaint,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Redemittel,complaint final queue,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Redemittel,application,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,application final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Redemittel,illness_absence,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Redemittel,illness_absence final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Redemittel,polite_requests,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Redemittel,polite_requests final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Redemittel,production,production_only,7,0,0,0,7,7,0,PASS,
Redemittel,production final queue,production_only,7,0,0,0,7,7,0,PASS,
Connector / Grammar Sprint,all,normal_auto_graded,125,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,all final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,reason,normal_auto_graded,23,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,reason final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,contrast,normal_auto_graded,23,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,contrast final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,purpose,normal_auto_graded,22,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,purpose final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,time,normal_auto_graded,39,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,time final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,repair,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Connector / Grammar Sprint,production,production_only,5,0,0,0,5,5,0,PASS,
Connector / Grammar Sprint,production final queue,production_only,5,0,0,0,5,5,0,PASS,
B1-01 / CAT02,mixed,normal_auto_graded,24,0,0,0,0,0,2,PASS,
B1-01 / CAT02,mixed final queue,normal_auto_graded,12,0,0,0,0,0,1,PASS,
B1-01 / CAT02,repair,normal_auto_graded,10,0,0,0,0,0,1,PASS,
B1-01 / CAT02,repair final queue,normal_auto_graded,10,0,0,0,0,0,1,PASS,
B1-01 / CAT02,production,production_only,1,0,0,0,1,1,0,PASS,
B1-01 / CAT02,production final queue,production_only,1,0,0,0,1,1,0,PASS,
B1-02 / CAT01,mixed,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-02 / CAT01,mixed final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-02 / CAT01,repair,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-02 / CAT01,repair final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-02 / CAT01,production,production_only,4,0,0,0,4,4,0,PASS,
B1-02 / CAT01,production final queue,production_only,4,0,0,0,4,4,0,PASS,
B1-03,mixed,normal_auto_graded,16,0,0,0,0,0,0,PASS,
B1-03,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-03,repair,normal_auto_graded,14,0,0,0,0,0,0,PASS,
B1-03,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-03,production,production_only,0,0,0,0,0,0,0,PASS,
B1-03,production final queue,production_only,0,0,0,0,0,0,0,PASS,
B1-04,mixed,normal_auto_graded,29,0,0,0,0,0,0,PASS,
B1-04,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-04,repair,normal_auto_graded,15,0,0,0,0,0,0,PASS,
B1-04,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-04,production,production_only,2,0,0,0,2,2,0,PASS,
B1-04,production final queue,production_only,2,0,0,0,2,2,0,PASS,
B1-05,mixed,normal_auto_graded,41,0,0,0,0,0,0,PASS,
B1-05,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-05,repair,normal_auto_graded,9,0,0,0,0,0,0,PASS,
B1-05,repair final queue,normal_auto_graded,9,0,0,0,0,0,0,PASS,
B1-05,production,production_only,0,0,0,0,0,0,0,PASS,
B1-05,production final queue,production_only,0,0,0,0,0,0,0,PASS,
B1-06,mixed,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-06,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-06,repair,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-06,repair final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
B1-06,production,production_only,5,0,0,0,5,5,0,PASS,
B1-06,production final queue,production_only,5,0,0,0,5,5,0,PASS,
B1-07,mixed,normal_auto_graded,38,0,0,0,0,0,0,PASS,
B1-07,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-07,repair,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-07,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-07,production,production_only,0,0,0,0,0,0,0,PASS,
B1-07,production final queue,production_only,0,0,0,0,0,0,0,PASS,
B1-08,mixed,normal_auto_graded,45,0,0,0,0,0,0,PASS,
B1-08,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-08,repair,normal_auto_graded,11,0,0,0,0,0,0,PASS,
B1-08,repair final queue,normal_auto_graded,11,0,0,0,0,0,0,PASS,
B1-08,production,production_only,5,0,0,0,5,5,0,PASS,
B1-08,production final queue,production_only,5,0,0,0,5,5,0,PASS,
B1-09,mixed,normal_auto_graded,30,0,0,0,0,0,0,PASS,
B1-09,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-09,repair,normal_auto_graded,16,0,0,0,0,0,0,PASS,
B1-09,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-09,production,production_only,9,0,0,0,9,9,0,PASS,
B1-09,production final queue,production_only,9,0,0,0,9,9,0,PASS,
B1-10,mixed,normal_auto_graded,29,0,0,0,0,0,0,PASS,
B1-10,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-10,repair,normal_auto_graded,13,0,0,0,0,0,0,PASS,
B1-10,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-10,production,production_only,6,0,0,0,6,6,0,PASS,
B1-10,production final queue,production_only,6,0,0,0,6,6,0,PASS,
B1-11,mixed,normal_auto_graded,29,0,0,0,0,0,0,PASS,
B1-11,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
B1-11,repair,normal_auto_graded,8,0,0,0,0,0,0,PASS,
B1-11,repair final queue,normal_auto_graded,8,0,0,0,0,0,0,PASS,
B1-11,production,production_only,0,0,0,0,0,0,0,PASS,
B1-11,production final queue,production_only,0,0,0,0,0,0,0,PASS,
Imported module cases_articles,mixed,normal_auto_graded,37,0,0,0,0,0,0,PASS,
Imported module cases_articles,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module cases_articles,repair,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Imported module cases_articles,repair final queue,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Imported module cases_articles,transformation,normal_auto_graded,2,0,0,0,0,0,0,PASS,
Imported module cases_articles,transformation final queue,normal_auto_graded,2,0,0,0,0,0,0,PASS,
Imported module cases_articles,production,production_only,0,0,0,0,0,0,0,PASS,
Imported module cases_articles,production final queue,production_only,0,0,0,0,0,0,0,PASS,
Imported module prepositions,mixed,normal_auto_graded,91,0,0,0,0,0,0,PASS,
Imported module prepositions,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module prepositions,repair,normal_auto_graded,24,0,0,0,0,0,0,PASS,
Imported module prepositions,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module prepositions,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module prepositions,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module prepositions,production,production_only,0,0,0,0,0,0,0,PASS,
Imported module prepositions,production final queue,production_only,0,0,0,0,0,0,0,PASS,
Imported module word_order,mixed,normal_auto_graded,40,0,0,0,0,0,0,PASS,
Imported module word_order,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module word_order,repair,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Imported module word_order,repair final queue,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Imported module word_order,transformation,normal_auto_graded,2,0,0,0,0,0,0,PASS,
Imported module word_order,transformation final queue,normal_auto_graded,2,0,0,0,0,0,0,PASS,
Imported module word_order,production,production_only,0,0,0,0,0,0,0,PASS,
Imported module word_order,production final queue,production_only,0,0,0,0,0,0,0,PASS,
Imported module b1_m12,mixed,normal_auto_graded,4,0,0,0,0,0,0,PASS,
Imported module b1_m12,mixed final queue,normal_auto_graded,4,0,0,0,0,0,0,PASS,
Imported module b1_m12,repair,normal_auto_graded,4,0,0,0,0,0,0,PASS,
Imported module b1_m12,repair final queue,normal_auto_graded,4,0,0,0,0,0,0,PASS,
Imported module b1_m12,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m12,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m12,production,production_only,2,0,0,0,2,2,0,PASS,
Imported module b1_m12,production final queue,production_only,2,0,0,0,2,2,0,PASS,
Imported module b1_m13,mixed,normal_auto_graded,21,0,0,0,0,0,0,PASS,
Imported module b1_m13,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m13,repair,normal_auto_graded,16,0,0,0,0,0,0,PASS,
Imported module b1_m13,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
