itemId,sourceFile,contentBankKey,routeKey,moduleKey,categoryId,taskType,answerMode,responseSurface,status,reviewOnly,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,v02ApplyGateStatus,productionFlag,quarantineFlag,sourceRowId,targetFamily,reviewGroup,targetId,variantFamilyId,supportPolicy,evidenceType,sourceCleanupBatch,feedbackCleanupBatch,missingMetadataFields,metadataRiskLevel,recommendedManifestAction
b1_grammar_connector_0000001,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_connector_002,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_connector_003,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_connector_004,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_final_0000001,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_temporal_0000001,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_preposition_0000001,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_grammar_k2_0000001,index.html,core,today,core,,grammar_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_vocab_bewerbung_0000001,index.html,core,today,core,,vocab_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
b1_vocab_beruf_0000001,index.html,core,today,core,,vocab_cloze,,,active,,,,,,false,false,,,,,,resolver,,,,targetFamily|reviewGroup|targetId,medium,MANIFEST_SAFE_WITH_DEFAULTS
