itemId,sourceFile,sourceRowId,moduleKey,categoryId,routeKey,taskType,answerMode,responseSurface,productionFlag,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,hasPrompt,hasUsefulPhrases,hasChecklist,hasModelAnswer,hasScenario,safeForProductionRoute,blockedReason
b1_connector_116,content/b1-connectors.js,b1_connector_116,connectors,,connectors,production_card,,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
b1_connector_117,content/b1-connectors.js,b1_connector_117,connectors,,connectors,production_card,,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
b1_connector_118,content/b1-connectors.js,b1_connector_118,connectors,,connectors,production_card,,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
b1_connector_119,content/b1-connectors.js,b1_connector_119,connectors,,connectors,production_card,,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
b1_connector_120,content/b1-connectors.js,b1_connector_120,connectors,,connectors,production_card,,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
v080149_cat02_practice_family_cat02_pf_077,OZMOSIS_B1_CAT02_PRACTICE_FAMILIES_v0_1.csv,cat02-pf-077,b1-01,CAT02,b1_m01,Produktion,mark_practised,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
v080149_cat02_practice_family_cat02_pf_078,OZMOSIS_B1_CAT02_PRACTICE_FAMILIES_v0_1.csv,cat02-pf-078,b1-01,CAT02,b1_m01,Produktion,mark_practised,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
v080149_cat02_practice_family_cat02_pf_079,OZMOSIS_B1_CAT02_PRACTICE_FAMILIES_v0_1.csv,cat02-pf-079,b1-01,CAT02,b1_m01,Produktion,mark_practised,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
v080149_cat02_practice_family_cat02_pf_080,OZMOSIS_B1_CAT02_PRACTICE_FAMILIES_v0_1.csv,cat02-pf-080,b1-01,CAT02,b1_m01,Produktion,mark_practised,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
v080149_cat02_practice_family_cat02_pf_081,OZMOSIS_B1_CAT02_PRACTICE_FAMILIES_v0_1.csv,cat02-pf-081,b1-01,CAT02,b1_m01,Produktion,mark_practised,,true,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,true,true,true,
